timestamp,open,high,low,close,volume
2025-01-02T05:00:00Z,136.0,138.88,134.63,138.31,198247166
2025-01-03T05:00:00Z,140.01,144.9,139.73,144.47,229322478
2025-01-06T05:00:00Z,148.59,152.156,147.8201,149.43,265377359
2025-01-07T05:00:00Z,153.03,153.13,140.01,140.14,351782174
2025-01-08T05:00:00Z,142.58,143.95,137.56,140.11,227349948
2025-01-10T05:00:00Z,137.45,139.92,134.22,135.91,207602514
2025-01-13T05:00:00Z,129.99,133.49,129.51,133.23,204808914
2025-01-14T05:00:00Z,136.05,136.38,130.05,131.76,195590485
2025-01-15T05:00:00Z,133.65,136.45,131.29,136.24,185217338
2025-01-16T05:00:00Z,138.64,138.75,133.49,133.57,209235583
2025-01-17T05:00:00Z,136.69,138.5,135.4649,137.71,201188760
2025-01-21T05:00:00Z,139.16,141.83,137.09,140.83,197748985
2025-01-22T05:00:00Z,144.66,147.79,143.67,147.07,237651395
2025-01-23T05:00:00Z,145.05,147.23,143.72,147.22,155915549
2025-01-24T05:00:00Z,148.37,148.97,141.88,142.62,234657635
2025-01-27T05:00:00Z,124.8,128.4,116.7,118.42,818830895
2025-01-28T05:00:00Z,121.81,129.0,116.25,128.99,579666350
2025-01-29T05:00:00Z,126.5,126.89,120.05,123.7,467120640
2025-01-30T05:00:00Z,123.1,125.0,118.1,124.65,392925469
2025-01-31T05:00:00Z,123.78,127.85,119.19,120.07,390372899
2025-02-03T05:00:00Z,114.75,118.57,113.01,116.66,371235677
2025-02-04T05:00:00Z,116.96,121.2,116.7,118.65,256550040
2025-02-05T05:00:00Z,121.76,125.0,120.76,124.83,263110629
2025-02-06T05:00:00Z,127.42,128.77,125.21,128.68,251483574
2025-02-07T05:00:00Z,129.22,130.37,125.0,129.84,228186298
2025-02-10T05:00:00Z,130.09,135.0,129.96,133.57,216989086
2025-02-11T05:00:00Z,132.58,134.48,131.02,132.8,178902379
2025-02-12T05:00:00Z,130.02,132.24,129.08,131.14,160278552
2025-02-13T05:00:00Z,131.555,136.5,131.17,135.29,197429975
2025-02-14T05:00:00Z,136.48,139.25,135.5,138.85,195479557
2025-02-18T05:00:00Z,141.27,143.44,137.925,139.4,219176627
2025-02-19T05:00:00Z,139.51,141.36,137.22,139.23,167536006
2025-02-20T05:00:00Z,140.03,140.66,136.7901,140.11,143903583
2025-02-21T05:00:00Z,140.04,141.46,134.03,134.43,228217585
2025-02-24T05:00:00Z,136.56,138.59,130.08,130.28,251381137
2025-02-25T05:00:00Z,129.98,130.2,124.44,126.63,271428711
2025-02-26T05:00:00Z,129.985,133.73,128.49,131.28,322553814
2025-02-27T05:00:00Z,135.0,135.01,120.01,120.15,443175846
2025-02-28T05:00:00Z,118.02,125.09,116.4,124.92,389091145
2025-03-03T05:00:00Z,123.51,123.7,112.28,114.06,411381373
2025-03-04T05:00:00Z,110.645,119.31,110.11,115.99,398163305
2025-03-05T05:00:00Z,117.58,118.2781,114.51,117.3,284337886
2025-03-06T05:00:00Z,113.53,115.35,110.22,110.57,321181861
2025-03-07T05:00:00Z,111.25,113.48,107.56,112.69,341755468
2025-03-10T04:00:00Z,109.9,111.85,105.46,106.98,366487363
2025-03-11T04:00:00Z,106.99,112.236,104.77,108.76,354865692
2025-03-12T04:00:00Z,114.12,116.76,112.88,115.74,323857454
2025-03-13T04:00:00Z,117.03,117.76,113.79,115.58,299033131
2025-03-14T04:00:00Z,118.61,121.88,118.15,121.67,277593455
2025-03-17T04:00:00Z,122.74,122.89,118.03,119.53,255501481
2025-03-18T04:00:00Z,118.0,119.02,114.54,115.43,299686944
2025-03-19T04:00:00Z,117.27,120.445,115.68,117.52,273426225
2025-03-20T04:00:00Z,116.55,120.2,116.47,118.53,248829749
2025-03-21T04:00:00Z,116.94,117.99,115.42,117.7,266498528
2025-03-24T04:00:00Z,119.88,122.22,119.34,121.41,228452534
2025-03-25T04:00:00Z,120.545,121.29,118.92,120.69,167447198
2025-03-26T04:00:00Z,118.73,118.84,112.71,113.76,296431667
2025-03-27T04:00:00Z,111.35,114.45,110.66,111.43,236902055
2025-03-28T04:00:00Z,111.485,112.87,109.0701,109.67,229872549
2025-03-31T04:00:00Z,105.13,110.955,103.65,108.38,299212653
2025-04-01T04:00:00Z,108.515,110.2,106.47,110.15,222614034
2025-04-02T04:00:00Z,107.29,111.98,106.79,110.42,220601243
2025-04-03T04:00:00Z,103.51,105.63,101.6,101.8,338769412
2025-04-04T04:00:00Z,98.91,100.13,92.11,94.31,532273810
2025-04-07T04:00:00Z,87.46,101.75,86.62,97.64,611041347
2025-04-08T04:00:00Z,103.805,105.85,94.46,96.3,476243392
2025-04-09T04:00:00Z,98.89,115.1,97.5301,114.33,612918336
2025-04-10T04:00:00Z,109.37,110.86,99.15,107.57,437812353
2025-04-11T04:00:00Z,108.5,111.5499,107.48,110.93,313417265
2025-04-14T04:00:00Z,114.11,114.29,109.07,110.71,264705049
2025-04-15T04:00:00Z,110.97,113.615,110.5,112.2,228966900
2025-04-16T04:00:00Z,104.55,106.79,100.45,104.49,397016870
2025-04-17T04:00:00Z,104.45,104.47,100.05,101.49,292517465
2025-04-21T04:00:00Z,98.77,99.44,95.04,96.91,288501136
2025-04-22T04:00:00Z,98.78,99.811,97.28,98.89,241004784
2025-04-23T04:00:00Z,104.52,104.8,102.02,102.71,247525971
2025-04-24T04:00:00Z,103.475,106.54,103.11,106.43,220815041
2025-04-25T04:00:00Z,106.85,111.92,105.73,111.01,251064672
2025-04-28T04:00:00Z,109.69,110.3699,106.02,108.73,207708479
2025-04-29T04:00:00Z,107.67,110.1999,107.44,109.02,170444263
2025-04-30T04:00:00Z,104.47,108.92,104.08,108.92,235044611
2025-05-01T04:00:00Z,113.08,114.94,111.3,111.61,236121507
2025-05-02T04:00:00Z,114.18,115.4,113.37,114.5,190194778
2025-05-05T04:00:00Z,112.905,114.665,112.66,113.82,133163241
2025-05-06T04:00:00Z,111.48,114.74,110.822,113.54,158525621
2025-05-07T04:00:00Z,113.045,117.68,112.2818,117.06,207827821
2025-05-08T04:00:00Z,118.25,118.68,115.85,117.37,198428122
2025-05-09T04:00:00Z,117.35,118.23,115.21,116.65,132972189
2025-05-12T04:00:00Z,121.97,123.0,120.28,123.0,225023345
