timestamp,open,high,low,close,volume
2025-03-13T04:00:00Z,248.125,248.29,232.6,240.68,114813525
2025-03-14T04:00:00Z,247.31,251.58,240.73,249.98,100242264
2025-03-17T04:00:00Z,245.055,245.4,232.8,238.01,111900565
2025-03-18T04:00:00Z,228.155,230.1,222.28,225.31,111477636
2025-03-19T04:00:00Z,231.61,241.41,229.201,235.86,111993753
2025-03-20T04:00:00Z,233.345,238.0,230.0501,236.26,99028270
2025-03-21T04:00:00Z,234.985,249.52,234.55,248.71,132728684
2025-03-24T04:00:00Z,258.075,278.64,256.33,278.39,169079865
2025-03-25T04:00:00Z,283.6,288.2,271.28,288.14,150361538
2025-03-26T04:00:00Z,282.66,284.9,266.51,272.06,156254441
2025-03-27T04:00:00Z,272.48,291.85,271.8216,273.13,162572146
2025-03-28T04:00:00Z,275.575,276.1,260.57,263.55,123809389
2025-03-31T04:00:00Z,249.31,260.56,243.3601,259.16,134008936
2025-04-01T04:00:00Z,263.8,277.45,259.25,268.46,146486911
2025-04-02T04:00:00Z,254.6,284.99,251.27,282.76,212787817
2025-04-03T04:00:00Z,265.29,276.3,261.51,267.28,136174291
2025-04-04T04:00:00Z,255.38,261.0,236.0,239.43,181229353
2025-04-07T04:00:00Z,223.78,252.0,214.25,233.29,183453776
2025-04-08T04:00:00Z,245.0,250.44,217.8,221.86,171603472
2025-04-09T04:00:00Z,224.69,274.69,223.88,272.2,219433373
2025-04-10T04:00:00Z,260.0,262.49,239.33,252.4,181722604
2025-04-11T04:00:00Z,251.84,257.74,241.3629,252.31,128948085
2025-04-14T04:00:00Z,258.36,261.8,245.93,252.35,100135241
2025-04-15T04:00:00Z,249.91,258.75,247.54,254.11,79594318
2025-04-16T04:00:00Z,247.61,251.97,233.89,241.55,112378737
2025-04-17T04:00:00Z,243.47,244.34,237.6833,241.37,83404775
2025-04-21T04:00:00Z,230.26,232.21,222.79,227.5,97768007
2025-04-22T04:00:00Z,230.96,242.79,229.8501,237.97,120858452
2025-04-23T04:00:00Z,254.86,259.4499,244.43,250.74,150381903
2025-04-24T04:00:00Z,250.5,259.54,249.2,259.51,94464195
2025-04-25T04:00:00Z,261.69,286.85,259.63,284.95,167560688
2025-04-28T04:00:00Z,288.98,294.86,272.42,285.88,151731771
2025-04-29T04:00:00Z,285.5,293.32,279.4695,292.03,108906553
2025-04-30T04:00:00Z,279.9,284.45,270.78,282.16,128961057
2025-05-01T04:00:00Z,280.01,290.8688,279.81,280.52,99658974
2025-05-02T04:00:00Z,284.9,294.78,279.81,287.21,114454683
2025-05-05T04:00:00Z,284.57,284.849,274.4,280.26,94618882
2025-05-06T04:00:00Z,273.105,277.73,271.35,275.35,76715792
2025-05-07T04:00:00Z,276.88,277.92,271.0,276.22,71882408
2025-05-08T04:00:00Z,279.63,289.8,279.41,284.82,97539448
2025-05-09T04:00:00Z,290.21,307.04,290.0,298.26,132387835
2025-05-12T04:00:00Z,321.99,322.21,311.5,318.38,112826661
2025-05-13T04:00:00Z,320.0,337.5894,316.8,334.07,136992574
2025-05-14T04:00:00Z,342.5,350.0,337.0,347.68,136997264
2025-05-15T04:00:00Z,340.34,346.1393,334.7153,342.82,97882596
2025-05-16T04:00:00Z,346.24,351.62,342.33,349.98,95895665
2025-05-19T04:00:00Z,336.3,343.0,333.37,342.09,88869853
2025-05-20T04:00:00Z,347.87,354.9899,341.63,343.82,131715548
2025-05-21T04:00:00Z,344.43,347.35,332.2,334.62,102354844
2025-05-22T04:00:00Z,331.9,347.27,331.39,341.04,97113416
2025-05-23T04:00:00Z,337.92,343.18,333.21,339.34,84654818
2025-05-27T04:00:00Z,347.35,363.79,347.32,362.89,120146414
2025-05-28T04:00:00Z,364.84,365.0,355.91,356.9,91404309
2025-05-29T04:00:00Z,365.29,367.71,356.0,358.43,88545666
2025-05-30T04:00:00Z,355.52,363.68,345.29,346.46,123474938
2025-06-02T04:00:00Z,343.5,348.02,333.33,342.69,81873829
2025-06-03T04:00:00Z,346.595,355.4,343.04,344.27,99324544
2025-06-04T04:00:00Z,345.095,345.6,327.3308,332.05,98912075
2025-06-05T04:00:00Z,322.49,324.5499,273.21,284.7,292818655
2025-06-06T04:00:00Z,298.83,305.5,291.14,295.14,164747685
2025-06-09T04:00:00Z,285.955,309.83,281.85,308.58,140908876
2025-06-10T04:00:00Z,314.94,327.83,310.667,326.09,151256520
2025-06-11T04:00:00Z,334.395,335.5,322.5,326.43,122611360
2025-06-12T04:00:00Z,323.075,332.56,316.86,319.11,105127536
2025-06-13T04:00:00Z,313.97,332.99,313.3,325.31,128964279
2025-06-16T04:00:00Z,331.29,332.05,326.41,329.13,83925858
2025-06-17T04:00:00Z,326.09,327.26,314.74,316.35,88282669
2025-06-18T04:00:00Z,317.31,329.32,315.45,322.05,95137686
2025-06-20T04:00:00Z,327.95,332.36,317.78,322.16,108688008
2025-06-23T04:00:00Z,327.54,357.54,327.48,348.68,190716815
2025-06-24T04:00:00Z,356.17,356.26,340.44,340.47,114736245
2025-06-25T04:00:00Z,342.7,343.0,320.4,327.55,119845050
2025-06-26T04:00:00Z,324.61,331.05,323.61,325.78,80440907
2025-06-27T04:00:00Z,324.51,329.3393,317.495,323.63,89067049
2025-06-30T04:00:00Z,319.9,325.5799,316.6,317.66,76695081
2025-07-01T04:00:00Z,298.46,305.89,293.21,300.71,145085665
2025-07-02T04:00:00Z,312.63,316.832,303.82,315.65,119483730
2025-07-03T04:00:00Z,317.99,318.45,312.76,315.35,58042302
2025-07-07T04:00:00Z,291.37,296.15,288.7701,293.94,131177949
2025-07-08T04:00:00Z,297.0,304.0499,294.35,297.81,103246742
2025-07-09T04:00:00Z,297.55,300.15,293.55,295.88,75586771
2025-07-10T04:00:00Z,300.05,310.48,300.0,309.87,104365271
2025-07-11T04:00:00Z,307.89,314.09,305.65,313.51,79236442
2025-07-14T04:00:00Z,317.73,322.5986,312.67,316.9,78043430
2025-07-15T04:00:00Z,319.675,321.2,310.5,310.78,77556346
2025-07-16T04:00:00Z,312.8,323.5,312.62,321.67,97284786
2025-07-17T04:00:00Z,323.15,324.34,317.0601,319.41,73922870
2025-07-18T04:00:00Z,321.66,330.9,321.42,329.65,94254993
2025-07-21T04:00:00Z,334.4,338.0,326.88,328.49,75768797
2025-07-22T04:00:00Z,329.74,335.4098,321.55,332.11,77370371
2025-07-23T04:00:00Z,330.9,336.2,328.67,332.56,92553756
2025-07-24T04:00:00Z,310.0,310.15,300.41,305.3,156966023
2025-07-25T04:00:00Z,308.74,323.63,308.01,316.06,148227027
2025-07-28T04:00:00Z,318.45,330.49,315.69,325.59,112673755
2025-07-29T04:00:00Z,325.55,326.25,318.25,321.2,87358861
2025-07-30T04:00:00Z,322.18,324.4499,311.6164,319.04,83931942
2025-07-31T04:00:00Z,319.605,321.37,306.1,308.27,85270919
2025-08-01T04:00:00Z,306.205,309.31,297.82,302.63,89121446
2025-08-04T04:00:00Z,309.08,312.1186,303.0001,309.26,78683905
2025-08-05T04:00:00Z,308.95,312.4499,305.5,308.72,57961278
2025-08-06T04:00:00Z,307.89,320.47,306.9345,319.91,78523579
2025-08-07T04:00:00Z,319.79,322.4,316.16,322.27,66658672
2025-08-08T04:00:00Z,321.43,335.15,320.98,329.65,91200319
2025-08-11T04:00:00Z,335.0,346.64,334.15,339.03,105320174
2025-08-12T04:00:00Z,345.0,345.26,332.94,340.84,80690111
2025-08-13T04:00:00Z,341.5,348.98,338.2,339.38,67838892
2025-08-14T04:00:00Z,335.76,340.4699,330.4,335.58,75000662
2025-08-15T04:00:00Z,337.655,339.3,327.02,330.56,74319792
2025-08-18T04:00:00Z,329.62,336.27,329.59,335.16,56956552
2025-08-19T04:00:00Z,335.79,340.55,327.85,329.31,75956002
2025-08-20T04:00:00Z,329.22,331.37,314.6,323.9,77481768
2025-08-21T04:00:00Z,322.08,324.9,318.68,320.11,55744445
2025-08-22T04:00:00Z,321.66,340.25,319.69,340.01,94016347
2025-08-25T04:00:00Z,338.9,349.53,335.03,346.6,86670037
2025-08-26T04:00:00Z,344.93,351.9,343.72,351.67,76651550
2025-08-27T04:00:00Z,351.94,355.39,349.156,349.6,65519012
2025-08-28T04:00:00Z,350.91,353.55,340.26,345.98,67903224
2025-08-29T04:00:00Z,347.23,348.7499,331.7,333.87,81145660
2025-09-02T04:00:00Z,328.23,333.33,325.6,329.36,58391952
